gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
201710_at,0.211491025798643,1.2355188777837582 (1.0479682360663412 - 1.456634700198492),2.517738459060003,0.011811098861988709,MYBL2,1.2355188777837582,1.0479682360663412,1.456634700198492
222118_at,0.30219838433005686,1.3528295802799954 (1.0692072258491798 - 1.7116867797325435),2.5174074771524033,0.011822201531333475,CENPN,1.3528295802799954,1.0692072258491798,1.7116867797325435
214968_at,0.3042821650558219,1.3556515196149204 (1.06960603317852 - 1.7181943497204555),2.5164674087149677,0.011853786283456154,DDX51,1.3556515196149204,1.06960603317852,1.7181943497204555
210956_at,0.2632934040786005,1.3012084428135477 (1.0593972357405013 - 1.5982139225290486),2.510031121014555,0.012072052195404952,LOC100996758 /// NPY4R,1.3012084428135477,1.0593972357405013,1.5982139225290486
201979_s_at,0.7086068199912111,2.031159515709001 (1.167616978475926 - 3.5333581596597905),2.508559773636441,0.01212244564245885,PPP5C,2.031159515709001,1.167616978475926,3.5333581596597905
206414_s_at,0.5416118973470191,1.7187751195674694 (1.125588175618574 - 2.624572624015596),2.507735236882431,0.012150767349998856,ASAP2,1.7187751195674694,1.125588175618574,2.624572624015596
205930_at,0.7185115901267658,2.051377646499285 (1.1681143591330918 - 3.60251564040356),2.500807710140505,0.01239104365175295,GTF2E1,2.051377646499285,1.1681143591330918,3.60251564040356
206829_x_at,0.5742124377756928,1.7757314770351087 (1.1316489750552006 - 2.7863960892815536),2.497989509699893,0.012489988983862095,ZNF430,1.7757314770351087,1.1316489750552006,2.7863960892815536
202911_at,0.626676573632992,1.8713808365379037 (1.1444393929744758 - 3.060071382425238),2.4976804620659285,0.012500881917404021,MSH6,1.8713808365379037,1.1444393929744758,3.060071382425238
204007_at,0.4838873348362975,1.6223688509029817 (1.10976201801762 - 2.371752362801149),2.4974914455111987,0.012507548287239796,FCGR3B,1.6223688509029817,1.10976201801762,2.371752362801149
219499_at,0.4144596089120597,1.5135526093153024 (1.092928862845214 - 2.096057281533794),2.4948700349349173,0.012600327149913501,SEC61A2,1.5135526093153024,1.092928862845214,2.096057281533794
202470_s_at,0.6230869937903736,1.8646754076453986 (1.142553175367494 - 3.0431969827217684),2.493209868408083,0.01265939960839597,CPSF6,1.8646754076453986,1.142553175367494,3.0431969827217684
201112_s_at,0.5970369319323167,1.8167277293571253 (1.1346350905120142 - 2.9088644183617807),2.4858862366394052,0.012922926953161254,CSE1L,1.8167277293571253,1.1346350905120142,2.9088644183617807
213936_x_at,0.6714805791352318,1.9571328666517251 (1.1525954369800238 - 3.3232554414448767),2.4856780826760208,0.012930487399277496,SFTPB,1.9571328666517251,1.1525954369800238,3.3232554414448767
221539_at,0.3488263723866321,1.4174030686638524 (1.0763222156020544 - 1.866570651367563),2.4836378340410925,0.01300479950872718,EIF4EBP1,1.4174030686638524,1.0763222156020544,1.866570651367563
208033_s_at,0.29660075660208257,1.3452780988190145 (1.0644294346190633 - 1.7002284081046497),2.4825855183037637,0.013043275543203774,ZFHX3,1.3452780988190145,1.0644294346190633,1.7002284081046497
204212_at,0.8944847979371132,2.446075241761274 (1.2056285213161502 - 4.962792421189319),2.4780186581805457,0.013211423634163144,ACOT8,2.446075241761274,1.2056285213161502,4.962792421189319
215665_at,0.17285200278203075,1.1886901692272716 (1.036659215316671 - 1.3630171782015477),2.4756067737407146,0.013300998334975257,HSD3B2,1.1886901692272716,1.036659215316671,1.3630171782015477
206309_at,0.48196408795369866,1.6192516336181204 (1.1051221790020254 - 2.372566493365207),2.4728062887027873,0.013405678457742104,LECT1,1.6192516336181204,1.1051221790020254,2.372566493365207
212124_at,0.493011864497584,1.637239946303324 (1.1075095456594828 - 2.4203445038255955),2.4719631278925513,0.013437337488033954,ZMIZ1,1.637239946303324,1.1075095456594828,2.4203445038255955
208271_at,0.2649786660973057,1.3034031688053795 (1.0563900368318166 - 1.6081747850887513),2.471662317939323,0.013448648290943816,PAPOLB,1.3034031688053795,1.0563900368318166,1.6081747850887513
203939_at,0.3882347206719217,1.474375810157666 (1.0834538743832038 - 2.006346629952827),2.469891639654978,0.01351539852731423,NT5E,1.474375810157666,1.0834538743832038,2.006346629952827
205461_at,0.372702384458272,1.4516522412681547 (1.0797396672853068 - 1.951668808164693),2.467995388226166,0.013587207013239906,RAB35,1.4516522412681547,1.0797396672853068,1.951668808164693
206059_at,0.31373417052407276,1.3685258936683307 (1.0666374078660732 - 1.7558573399254522),2.467298274390959,0.013613690384263195,ZNF91,1.3685258936683307,1.0666374078660732,1.7558573399254522
204059_s_at,0.2516121182840755,1.286097086979303 (1.053065898352694 - 1.5706953569800945),2.4669091279135626,0.013628493892040273,ME1,1.286097086979303,1.053065898352694,1.5706953569800945
211628_x_at,0.6811358243125649,1.976120984277685 (1.1482013752142088 - 3.401018522359877),2.4588422822318794,0.013938583659651784,FTH1P5,1.976120984277685,1.1482013752142088,3.401018522359877
209529_at,0.37632140540991593,1.456915318993738 (1.0792615822207723 - 1.9667171348312007),2.458224856367171,0.013962572148307439,PPAP2C,1.456915318993738,1.0792615822207723,1.9667171348312007
